reviews,rating,cleaned_review
the battery last me all day when im working!,positive,battery last day im working
as expected these are great earbuds,positive,expected great earbuds
she loves them so much she has them in constantly. she never hears me when im talking to her. i tend to scare her when i walk into a room and she doesnt hear me.,positive,love much constantly never hears im talking tend scare walk room doesnt hear
item was of the most unrivaled quality! fast delivery.,positive,item unrivaled quality fast delivery
no,positive,
im sick i lost these but ima buy some more they bomb,positive,im sick lost ima buy bomb
my daughter loves them. they are the real deal.,positive,daughter love real deal
i love my airpods they were a day late on the shipping but i wojt hold thst against them as i do not fully understand the shipping process nontheless they have great sound quality i love the battery life.,positive,day late shipping wojt hold thst fully understand shipping process nontheless great sound quality battery life
"they work, connected, and looked authentic. wish i got these for $ back then, but theyre a solid price for a solid pair of earbuds.",positive,work connected looked authentic wish got back theyre solid price solid pair earbuds
"my son loves these.  auto pause for audio, and they verbalize your text messages.  my son utilizes these with his iphone  pro.",positive,son love auto pause audio verbalize text message son utilizes iphone pro
did not last long,positive,last long
very pleased!,positive,pleased
this is great to speak to someone hands free,positive,great speak someone hand free
my first pair of wireless headphones. didnt disappoint.,positive,first pair wireless headphone didnt disappoint
is an excellent item.%,positive,excellent item
"i have stayed away from ear buds and anything that is supposed to ""fit"" in my ears. i decided to try these because of the design and was amazed that they fit, stayed in and were comfortable to wear! love them",positive,stayed away ear bud anything supposed fit ear decided try design amazed fit stayed comfortable wear
i loved how quickly it came and how cheap they are. it gives you a choice for over night shipping and i got them the very next day i would definitely recommend getting them multiexclamation ,positive,loved quickly came cheap give choice night shipping got next day would definitely recommend getting multiexclamation
great ear buds and they are authentic.,positive,great ear bud authentic
"i prefer these to the newer ones, because they do not fall from my ears.",positive,prefer newer one fall ear
great hands free talking and the music sounds awesome,positive,great hand free talking music sound awesome
call was very good can you hear my music perfectly noise cancellation works,positive,call good hear music perfectly noise cancellation work
good multiexclamation ,positive,good multiexclamation
"fast and easy shipping. i love buying these airpods great price, ive purchased  pairs now, one for each family member. clear sound, long battery life, it has noise cancellation and fast charging case, they also rings loud when i misplace one making it easy to find. must try",positive,fast easy shipping buying great price ive purchased pair family member clear sound long battery life noise cancellation fast charging case also ring loud misplace making easy find must try
my nephew said that he really enjoys these. great product,positive,nephew said really enjoys great product
la comodidad,positive,la comodidad
missing,positive,missing
i just bought another pair for myself after buying for daughter,positive,bought another pair buying daughter
clearly a different version as the case feels a lot cheaper.  the charging display light is in a different spot as well.  not sure wtf this is.  they work at least but still annoying.,positive,clearly different version case feel lot cheaper charging display light different spot well sure wtf work least still annoying
"these are a life saver, unlike the apple watch which is a waste of money.",positive,life saver unlike watch waste money
the sound quality is very good and very practical.,positive,sound quality good practical
granddaughter likes - nuff said.,positive,granddaughter like nuff said
"they work easily and well. thankfully, my ears have no discomfort issues with airpods and they fit securely in my ear without causing fatigue.i do not know why there is a noise cancelling rating on this review, as that is not a feature of these earbuds.",positive,work easily well thankfully ear discomfort issue fit securely ear without causing fatiguei know noise cancelling rating review feature earbuds
they are easy to us. they connect instantly to my device. and they stay in my ears. no problem.,positive,easy u connect instantly device stay ear problem
wow. these are fantastic. great sound. microphone is first rate. i love these.  best . ive spent this year,positive,wow fantastic great sound microphone first rate best ive spent year
para mi es apple casi perfecto,positive,para mi e casi perfecto
missing,positive,missing
it seems air pods themselves stay charged longer than the case.,positive,seems air pod stay charged longer case
"how can you go wrong, made by apple multistop  the quality-sound is outstanding.",positive,go wrong made multistop qualitysound outstanding
"great quality, easy to use and keeps a charge for a very long time!",positive,great quality easy use keep charge long time
they are great quality i had them for  months nothing has happened very durable great to have on a everyday basis,positive,great quality month nothing happened durable great everyday basis
"works well, clear audio. hopefully it lasts.",positive,work well clear audio hopefully last
he always gets the same kind. easy to buy for him.,positive,always get kind easy buy
great better then the others.,positive,great better others
"at the end of the day, you could never go wrong with apple",positive,end day could never go wrong
they were exactly what our granddaughter wanted and she is really pleased with how they are working!,positive,exactly granddaughter wanted really pleased working
daughter loves them!,positive,daughter love
loved it. thanks!,positive,loved thanks
produto excelente,positive,produto excelente
slayed x,positive,slayed x
"very easy to connect, and they actually stay in your ears pretty good.",positive,easy connect actually stay ear pretty good
everything was great about them i would purchase again!,positive,everything great would purchase
they were sent fast and packaged safely. love that it was easily able to be setup.,positive,sent fast packaged safely easily able setup
sounds great i can get so much work done when i do not hear anybody,positive,sound great get much work done hear anybody
i got mine a couple of days ago and the only downside is that it only works in the right airpod. it has been like that ever since i got it and i have not been able to fix that issue since. does anyone know what i can do to potentially fix it? i spent over $. for only one airpod to work when i first got it.,positive,got mine couple day ago downside work airpod like ever since got able fix issue since anyone know potentially fix spent airpod work first got
great battery lifd,positive,great battery lifd
"these work great even though i do not have an iphone, i use them with my android phone and i was worried about compatibility issues but gratefully i did not come across any. i got them over the other in-ear headphones because my ear starts to ache if something is inside it too long. these are perfect as they stay just near the outer part allowing my inner ear to get some breathing space. sound quality is great as expected from the brand however the noise cancelling could be better. but that is a price to pay for my ear to not be fully closed off. a lot of the advertised features do not work because i am not using an iphone (such as siri, ear detection or even battery detection - which can be frustrating). but here are some features that did work:- you cannot double tap to get to siri (or google) but the double tap instead works to pause or play the media!- you can still use just one earphone since they both connect differently. (will need to change settings to allow for mono audio, this can be found in accessibility).",positive,work great even though iphone use android phone worried compatibility issue gratefully come across got inear headphone ear start ache something inside long perfect stay near outer part allowing inner ear get breathing space sound quality great expected brand however noise cancelling could better price pay ear fully closed lot advertised feature work using iphone siri ear detection even battery detection frustrating feature work double tap get siri google double tap instead work pause play medium still use earphone since connect differently need change setting allow mono audio found accessibility
brought for god daughter she loves them. noise cancellation and good battery life.!,positive,brought god daughter love noise cancellation good battery life
i love how long i can listen to music with these,positive,long listen music
"i have tried a lot of pod and over the head gear for longs hours of work. for whatever reason, these sit in my ear most comfortably. i actually hate noise cancelling features because i like hearing what is going on around me. much better than holding a handheld to my ear like the ""old"" days!",positive,tried lot pod head gear longs hour work whatever reason sit ear comfortably actually hate noise cancelling feature like hearing going around much better holding handheld ear like old day
i bought these to replace my daughters air pods that stopped working. they are great!,positive,bought replace daughter air pod stopped working great
"bought these as a gift, work perfectly, easy to connect and use, comfortable, great sound!",positive,bought gift work perfectly easy connect use comfortable great sound
sound quality,positive,sound quality
"i have never owned a apple earphone before, however i have purchased many expensive and cheap earphones in the past. for near  dollars these are perfect. i doubt the  dollar newest versions are necessary. best not to find out!of course not losing these are the true challenge.it is super, super small.",positive,never owned earphone however purchased many expensive cheap earphone past near dollar perfect doubt dollar newest version necessary best find outof course losing true challengeit super super small
got for my son on prime day. he loves them!,positive,got son prime day love
"i liked using product the size was pretty good, the lasted for about  hours before needing to be charged. if i were to buy airpods again would by this model it is easily one the best airpods the audio is good but when on a phone call could be better. though compared to others it is audio when talking on the phone is better.",positive,liked using product size pretty good lasted hour needing charged buy would model easily best audio good phone call could better though compared others audio talking phone better
