rating,reviews,cleaned_review
positive,"great battery life, great performance! update //: i bought parallels desktop and a windows  license. i need it to try a certain amount of things in it, however, the performance when running windows in a virtualized environment (like parallels is) it gets seriously affected on the m, something that did not happen with intel processors. you notice the performance degrading (but not that much, maybe , or even % i risk to say) when switching between full screens and main desktop with windows (full separate screen, remember that there is an option to seamlessly integrate within your macos). you kinda feel the stutter but i can see the m processor get in the way and prioritize the screen, and that is a good thing to re-prioritize tasks that are being done in one screen or another (take the word ""screen"" as full-screen apps or software that switches between desktop and full-screen apps or between apps). in my case, running windows  makes the mbp m run hotter than i am really use to, but it does not affect battery performance as much as i expected! multistop  weird, is not it? multistop  love it!if you are going to virtualize something, that is not windows, you should not worry that much on this laptop. just remember that is still have gb ram and usable gb, therefore, performance would not be the same as bare metal.still, other regular software from apple or safari (or any other browser), office, adobe xd, photoshop do not affect performance nor consume that much battery, although if you are a graphic designer or a photographer making a quick change could make you brighten your screen, in which may lead to higher power consumption, which also could be confused by software running.one bad thing that i found with heavy usage is that the keyboard gets ""oily"", meaning, it wears in time and amount of usage per day; funny enough, the aluminum part of the palm rest do not have any signs of wear.another thing that i found is that the left speaker sounds like it broke when hearing at % volume, i do not know if that is fixable or not, anywho anyhow multistop  i am gonna stick with that because i rarely use it.one thing that i have also found is how i got used to the fact that this mbp m takes nothing to return from suspended state, why? because no matter what other laptop i use (or desktop, for that matter), all of them takes a few seconds to access to their respective desktops and another few seconds to actually be productive (after booting software) multistop  this one literally takes nothing to wake and start using it multistop  that is why i am not changing this laptop multistop  and yes, even with its flaws multistop  why? because in critical cases when i need to go somewhere and fast react to do something at work, i just do it! it takes me  seconds to wake up the mbp and enter another desktop via anydesk or teamviewer or ssh multistop  this takes time on most windows laptops multistop  i love it!i just wish this laptop was upgradeable multistop  after all at the end of the day, it makes my life so useful and convenient despite the down side of it multistop  what a masterpiece! i just wish i could do more and more with it, i feel limited multistop  but happy!and by the way, i still stand on my original review.original: i believe i have found my unicorn because this particular macbook air still lasts an insane amount of time! although i do not use it on full brightness, i regulate it a lot. connecting several devices to it via bluetooth is transparent, but unfortunately, apple made the macos more inconvenient to handle in terms of simplicity.user experience on the macos is weird, you know as a mac user where things used to be, then you have to relearn some things and it does not feel like home, the new normal is not good so far.keyboard is relatively quiet, also, there is the missing keyboard light on this iteration of the macbook air, why did you take (probably) the most useful key from us?! if you are watching a movie you have to literally stop the movie, go through the menu from above and turn off the keyboard lights, or if you are on a presentation and everything is dark, you just turn your screen light down but you cannot with your keyboard because you need to actually stop paying attention to the presentation and go through the menu, inconvenient as heck!i know (and i am very well aware) that there are some workarounds to change to the keyboard light again using a small software multistop  but that is not the end-game, the thing is that we should not need an extra software or aditional configuration just to use something the macbook had for, literally, over  years!speed on this macbook: you do not even feel it multistop  everything is instant, nothing is slow, if something is, it is most likely the software or the website you are on, is that simple! if you are planning on using massive storage, you should use an usb-c one, not an usb-a through usb-c dongle, you will have a bottleneck, that is guaranteed.i have not used it on games because that is why i have my pc and xbox for. however, if you are planning on developing software on it, just make sure your libraries fit within gb (the half of it is recommended for all ssd is) of storage, if that is gonna be an issue, then go for usb-c massive storage.weight is not a problem, it makes you feel like you are having a premium laptop on your hands, but not enough to make your bag heavier. construction feels like you own something premium and well-made.",battery life performance update bought parallel desktop window license need try certain amount thing however performance running window virtualized environment like parallel get seriously affected something happen intel processor notice performance degrading much maybe even risk say switching full screen main desktop window full separate screen remember option seamlessly integrate within macos kinda feel stutter see processor get way prioritize screen good thing reprioritize task done one screen another take word screen fullscreen apps software switch desktop fullscreen apps apps case running window make mbp run hotter really use affect battery performance much expected multistop weird multistop love itif going virtualize something window worry much remember still gb ram usable gb therefore performance would bare metalstill regular software safari browser office adobe xd photoshop affect performance consume much battery although graphic designer photographer making quick change could make brighten screen may lead higher power consumption also could confused software runningone bad thing found heavy usage keyboard get oily meaning wear time amount usage per day funny enough aluminum part palm rest sign wearanother thing found left speaker sound like broke hearing volume know fixable anywho anyhow multistop gon na stick rarely use itone thing also found got used fact mbp take nothing return suspended state matter use desktop matter take second access respective desktop another second actually productive booting software multistop one literally take nothing wake start using multistop changing multistop yes even flaw multistop critical case need go somewhere fast react something work take second wake mbp enter another desktop via anydesk teamviewer ssh multistop take time window laptop multistop love iti wish upgradeable multistop end day make life useful convenient despite side multistop masterpiece wish could feel limited multistop happyand way still stand original revieworiginal believe found unicorn particular still last insane amount time although use full brightness regulate lot connecting several device via bluetooth transparent unfortunately made macos inconvenient handle term simplicityuser experience macos weird know user thing used relearn thing feel like home new normal good farkeyboard relatively quiet also missing keyboard light iteration take probably useful key u watching movie literally stop movie go menu turn keyboard light presentation everything dark turn screen light keyboard need actually stop paying attention presentation go menu inconvenient hecki know well aware workarounds change keyboard light using small software multistop endgame thing need extra software aditional configuration use something literally yearsspeed even feel multistop everything instant nothing slow something likely software website simple planning using massive storage use usbc one usba usbc dongle bottleneck guaranteedi used game xbox however planning developing software make sure library fit within gb half recommended ssd storage gon na issue go usbc massive storageweight problem make feel like premium hand enough make bag heavier construction feel like something premium wellmade
positive,"very lightweight, good speed, but not gold at all updated review with more detail [after  weeks]. ** see additional note re color.i switched to mac  years ago, and for that entire period, i had the same laptop, a macbook pro, late- model. after the initial adjustment, it has been a great laptop for all of these years. i used it for school, work, online browsing, a few applications, and streaming videos. i have never gamed on my  laptop. of course, it slowed down considerably after several years, and software and hardware updates can only help so much with an older model. so, i finally decided to purchase a new laptop, and based on my research on recent macbook models, the price and value was right on this  macbook air.general features: switching from a pro to an air model is weird at first because the air is so thin and lightweight. it has an extremely slim profile. i have to be extra careful when i grab the laptop to move to another room. like other reviewers have said, the screen extends almost to the edge with minimal bezel, which also means very minimal border, so you are getting a ""larger"" screen. i did not mind the thick bezel black border on my pro and have been used to it for so long, but i took for granted that it actually provided a lot of protection for my screen. the macbook air has almost no bezel, which in my opinion, is not ideal. let is hope it does not drop or get off balance because there is basically no protection for the screen. my older macbook pro has fallen a few times on it is corner or edge in  years and been fine, aside from minor cosmetic damage. but the larger edge and bezel came in really handy on the macbook pro when it lost balance and fell off the counter several years ago, but i quickly saved it by grabbing it by the screen and significantly reducing the impact when it landed [luckily not on hard floor]. obviously not an ideal way to grab it, but it was a necessary save in that moment. the only damage was cracks through the top of my screen from the pressure of my palm, and some minor dent in the bottom of the laptop. cosmetic damage, but thankfully did not effect the screen light, lcd, or anything else. i do not think the macbook air would survive this, especially how the screen is built.battery: upon opening the box, the battery life was already pretty high, and i decided not to charge it until the battery decreased to around -%. i was still using my original macbook during the day for work, and the new macbook air during the evening for mostly online use and going through all of the system preferences and settings, and watching youtube in the background. keeping that limited use in mind, i did not need to charge it for maybe  week. great battery life thus far. i will likely be shifting to use this macbook air for work soon, in order to take advantage of the current os, higher ram, and m chip, especially because i connect to virtual servers, which can take a toll on the ram and processor.speed/ports/bluetooth: compared to an older model pro, it has good speeds so far. i already knew that the number of ports have been reduced significantly, and that air has less ports than a pro anyway, so i purchased a thunderbolt adapter and a usb hub in advance to take care of that issue. so far, the thunderbolt adapter works fine to connect the macbook air to my thunderbolt display monitor. the bluetooth was able to connect to my ear buds, although pairing did take a bit longer than i expected. the bluetooth preferences do seem to be less detailed/less options than my previous macbook pro.charger:  ** in my opinion, the previous magnetic chargers were superior to the current ones. they attached via magnet, the indicator light was red while charging, and green when fully charged. easy and convenient. the mag-safe charger on this computer requires an additional push to be plugged in fully. this is just like most electronic devices, so it is not a bad feature, just requires an adjustment. it is probably safer for the computer and prevents it from easily coming unplugged. however, there is no indicator light, so you cannot tell that it is plugged in and successfully charging unless you look at the battery status in the menu bar, and you also cannot see when it is finished charging just at a glance. you cannot confirm when the laptop is closed or on lock screen. you have to open the laptop, log in, and then check. big bummer. **miscellaneous features: my previous macbook had a great feature: check the battery life at a glance with a quick push of a button while the laptop is still closed. after some additional research, i realized that apple removed the battery light indicator on the macbook pros many years ago, and that airs never had this feature. big bummer. there is no way to check the battery life on this model without opening the laptop and logging in, as the battery status in the menu bar on lock screen only shows the icon, but will not show you the percentage until you log in. not ideal at all.-------quick review for recently purchased product [during black friday]. i will update with a more detailed review once i have used it for a longer period.***** important note: if you are on the fence about purchasing the ""gold,"" do not get it. i had a silver macbook pro for many years, and i went back and forth for several days about the gold, especially after reading recent reviews and viewing customer images on multiple retailers that said the gold is closer to rose gold. i would disagree and say that the color is actually better described as dark blush pink or dark a reddish-mauve. definitely not the look i wanted to have, and i regret not purchasing the staple silver, especially as i keep my electronics for many years beyond the 'normal time.' it would be a hassle and a lot of money to purchase the silver instead, since we cannot exchange in-store.",lightweight good speed gold updated review detail week see additional note colori switched year ago entire period pro late model initial adjustment year used school work online browsing application streaming video never gamed course slowed considerably several year software hardware update help much older model finally decided purchase new based research recent model price value right airgeneral feature switching pro model weird first thin lightweight extremely slim profile extra careful grab move another room like reviewer said screen extends almost edge minimal bezel also mean minimal border getting larger screen mind thick bezel black border pro used long took granted actually provided lot protection screen almost bezel opinion ideal let hope drop get balance basically protection screen older pro fallen time corner edge year fine aside minor cosmetic damage larger edge bezel came really handy pro lost balance fell counter several year ago quickly saved grabbing screen significantly reducing impact landed luckily hard floor obviously ideal way grab necessary save moment damage crack top screen pressure palm minor dent bottom cosmetic damage thankfully effect screen light lcd anything else think would survive especially screen builtbattery upon opening box battery life already pretty high decided charge battery decreased around still using original day work new evening mostly online use going system preference setting watching youtube background keeping limited use mind need charge maybe week battery life thus far likely shifting use work soon order take advantage current o higher ram chip especially connect virtual server take toll ram processorspeedportsbluetooth compared older model pro good speed far already knew number port reduced significantly le port pro anyway purchased thunderbolt adapter usb hub advance take care issue far thunderbolt adapter work fine connect thunderbolt display monitor bluetooth able connect ear bud although pairing take bit longer expected bluetooth preference seem le detailedless option previous procharger opinion previous magnetic charger superior current one attached via magnet indicator light red charging green fully charged easy convenient magsafe charger requires additional push plugged fully like electronic device bad feature requires adjustment probably safer prevents easily coming unplugged however indicator light tell plugged successfully charging unless look battery status menu bar also see finished charging glance confirm closed lock screen open log check big bummer miscellaneous feature previous feature check battery life glance quick push button still closed additional research realized removed battery light indicator pro many year ago air never feature big bummer way check battery life model without opening logging battery status menu bar lock screen show icon show percentage log ideal allquick review recently purchased product black friday update detailed review used longer period important note fence purchasing gold get silver pro many year went back forth several day gold especially reading recent review viewing customer image multiple retailer said gold closer rose gold would disagree say color actually better described dark blush pink dark reddishmauve definitely look wanted regret purchasing staple silver especially keep electronics many year beyond normal time would hassle lot money purchase silver instead since exchange instore
positive,"great notebook with almost no weaknesses why is it that the pc world cannot make a good notebook for the same price? the macbook air is the bar that every pc model should be at. i bought a pc notebook that has seen more time at the repair depot than in my use. i finally decided to buy a macbook air because i was so impressed with a mac mini i bought. i like everything about the air from the keyboard, touchpad, beautiful screen quality and study chassis. i was skeptical of the finless design having had intel macbook airs that ran very warm. so far this apple silicon macbook has stayed cool to touch. honestly, i think a m macbook is all many really need for general use cases. i highly recommend a macbook air over any pc notebook.",notebook almost weakness world make good notebook price bar every model bought notebook seen time repair depot use finally decided buy impressed mini bought like everything keyboard touchpad beautiful screen quality study chassis skeptical finless design intel air ran warm far silicon stayed cool touch honestly think many really need general use case highly recommend notebook
positive,"the best device for work and travel as a programmer, i can say that this is just the perfect device for work. the battery lasts more than  hours, even when watching movies and tv shows.the only exception is when i edit k material for video in davinci resolve. there, the battery lasts for - hours. just like in games. although i do not play games on this laptop. i ran froetnite once for a test, i liked it in principle and the fps was stable +.passive cooling makes this laptop silent. which is just perfect for audio recording. in addition, it will never get clogged with dust.it is also very convenient that it can be charged via type-c cable. by the way, i use a third-party charger and there are no problems with this at all.",best device work travel programmer say perfect device work battery last hour even watching movie tv showsthe exception edit k material video davinci resolve battery last hour like game although play game ran froetnite test liked principle fps stable passive cooling make silent perfect audio recording addition never get clogged dustit also convenient charged via typec cable way use thirdparty charger problem
positive,"finally able to move to a mac i have tried for years to move to a mac given in use an iphone and ipad, however, the office apps in the past were somewhat quirky on a mac.  so finally, they pretty much work the same as on my windows pc with a few exceptions, but for the most part i cant tell a big difference.the mac hardware and os is way superior to a windows laptop in this price range.  im primarily a business user and the office suite is what im in daily so now that its very similar to the windows os version, i do not see myself going back to windows.",finally able move tried year move given use iphone ipad however office apps past somewhat quirky finally pretty much work window exception part cant tell big differencethe hardware o way superior window price range im primarily business user office suite im daily similar window o version see going back window
positive,"love apple but this is disappointing multistop  im a big apple fan. i usually use macbook pros for work. i decided to get the air for the days when i do not need the pro with me. i like the size and the weight, but there are little glitches here and there that are just very annoying to me. photos cant crop more than two pictures at the time without glitches. i do the same on the pro, no problem. this is easy work and has nothing to do with how powerful your computer is. im talking about cropping regular phone size pics for social media. no filters or animations or anything like this. it cant do that.sometimes when you try to write a post on social media, the space bar moves cursor up as an arrow, rather than a space, usually when you get to the second paragraph of your post. i havent noticed this in pages, just social media. these are small things but when youre in a hurry, they can be very annoying. the button to change languages is very temperamental, sometimes works, sometimes doesnt. if youre trying to write a social media post in two different languages, good luck. you have to select outside of the post pop-up in order to change your language every single time. and idk, it might be just mine that is doing this, but its making me stay away from everything air.as far as amazon shipment, delivery and so on, no complains. everything was as expected for this item.",love disappointing multistop im big fan usually use pro work decided get day need pro like size weight little glitch annoying photo cant crop two picture time without glitch pro problem easy work nothing powerful im talking cropping regular phone size pic social medium filter animation anything like cant thatsometimes try write post social medium space bar move cursor arrow rather space usually get second paragraph post havent noticed page social medium small thing youre hurry annoying button change language temperamental sometimes work sometimes doesnt youre trying write social medium post two different language good luck select outside post popup order change language every single time idk might mine making stay away everything airas far amazon shipment delivery complains everything expected item
positive,"great with transferring from windows laptop to the mac first of all, i'm not good with technically stuff multistop  i had difficulty migrating at first especially getting all of my pdf documents over. i got a few apple support folks to walk me through it. (it took  calls to get someone who knew how to change my settings in order to allow me to save documents on the macbook). also had to buy a usb-c adapter in order to use my usb hub.it was definitely worth it. absolutely love it!",transferring window first im good technically stuff multistop difficulty migrating first especially getting pdf document got support folk walk took call get someone knew change setting order allow save document also buy usbc adapter order use usb hubit definitely worth absolutely love
positive,"good low-cost laptop workstation this macbook air was issued to me a couple of years ago at work. it performs all office and presentation tasks well, with good sound and video controls. its extremely light and portable. when i saw it available for the older model price i bought one for home use. it now ships with macos ventura  multistop ",good lowcost workstation issued couple year ago work performs office presentation task well good sound video control extremely light portable saw available older model price bought one home use ship macos ventura multistop
positive,"awesome notebook computer! i have two macbook airs (mba), a "" and a , both with the previous form factor (the wide, body colored bezel around the screen, x resolution) and this new "" mba improves upon it in every way (almost) and makes it nearly perfect.good:- screen looks great!  x resolution is bright and sharp and looks good with the thin black bezel.  i usually do not go above % brightness.- keyboard is good.  some have mentioned that it still sucks, but i find it much better than the older mbas that i own and better than say, the magic keyboard.  even with a thin silicone keyboard cover i find the typing experience to be much better and i can type faster and with fewer mistakes.- battery life is fantastic.  have not done any real testing yet and obviously it depends on a lot of factors (wifi usage, video streaming, hd vs k video viewing/processing/etc., screen brightness, type of app being used, etc.) but for my usage (mostly web browsing, video viewing on youtube, accessing vpn for work (citrix, epic), etc., it has been great.  easily tops  hours and super impressed so far.- looks great.  love the newer (i know that the actual exterior design is a few years old by now) design, looks and feels great.  form factor is nice and it is a reasonable weight.- no fan.  that is awesome, as it not only stays quiet all the time but you also do not need to worry about blocking any fan vents on the bottom or back of the case while you have it on your lap.  pretty amazing really for a laptop to have no fans.- performance.  it works great so far on what i have used it for, which is not terribly a lot, but it is what it is for a laptop using apple silicon for the first time.  for just day to day use and things like chrome, office (word, excel), citirx, epic, etc., it has been super smooth and fast.  have not tried gaming yet but do not have high hopes given it is the base model with -core gpu.  also, things like start up are noticeably faster with the m versus my  imac "" (top end) with intel chips.- touch id is great still.  works very fast and the button does not get greasy (which makes it not work well) like the old iphone home buttons.  on the other hand, it should really have face id at this point.- apple ecosystem is great as usual and a real reason to get this mba.  apple watch easily unlocks it (so you do not really need face id if you have the watch).  you can easily send/receive files using airdrop or cast using airplay.  and so on and so forth.- big sur comes preinstalled but you need to update to get  multistop not good:- webcam still sucks.  still low resolution and just does not look good in facetime, teams, etc.  shame that apple is so slow to upgrade webcams on the macs (the "" imac finally upgraded to p front cams only a couple months ago multistop  i got one and it looks so much better than this mba is camera).- only  ports.  sad that this thing has only  usb-c ports (that cover thunderbolt , usb ., charging, displayport).  given that it is used to charge, it leaves only one usb-c port for other use, pretty lame.  i wish they had squeezed (i think it would fit) a usb-a port so that i could plug in my wireless mouse usb-a dongle as i have never liked any bluetooth mouse, or at least one more usb-c port.- new tech (apple silicon) means the m-optimized apps are still being rolled out, e.g. photoshop still not available at release.- battery still cannot be removed, no surprise here, but means that like all apple mobile tech it will have a useable lifespan determined at least partly by the non-removable battery.  easier to have an iphone is battery replaced than a mba i would imagine but hopefully it maintains a high level of performance for  years at the minimum.overall:a few negatives (mostly the webcam) but enough significant improvements that this mba is really a no-brainer for anyone needing a non-power notebook compute, especially if s/he is already in the apple ecosystem.  love it so far!",awesome notebook two air mba previous form factor wide body colored bezel around screen x resolution new mba improves upon every way almost make nearly perfectgood screen look x resolution bright sharp look good thin black bezel usually go brightness keyboard good mentioned still suck find much better older mba better say magic keyboard even thin silicone keyboard cover find typing experience much better type faster fewer mistake battery life fantastic done real testing yet obviously depends lot factor wifi usage video streaming hd v k video viewingprocessingetc screen brightness type app used etc usage mostly web browsing video viewing youtube accessing vpn work citrix epic etc easily top hour super impressed far look love newer know actual exterior design year old design look feel form factor nice reasonable weight fan awesome stay quiet time also need worry blocking fan vent bottom back case lap pretty amazing really fan performance work far used terribly lot using silicon first time day day use thing like chrome office word excel citirx epic etc super smooth fast tried gaming yet high hope given base model core gpu also thing like start noticeably faster versus imac top end intel chip touch id still work fast button get greasy make work well like old iphone home button hand really face id point ecosystem usual real reason get mba watch easily unlocks really need face id watch easily sendreceive file using airdrop cast using airplay forth big sur come preinstalled need update get multistop good webcam still suck still low resolution look good facetime team etc shame slow upgrade webcam mac imac finally upgraded p front cam couple month ago multistop got one look much better mba camera port sad thing usbc port cover thunderbolt usb charging displayport given used charge leaf one usbc port use pretty lame wish squeezed think would fit usba port could plug wireless mouse usba dongle never liked bluetooth mouse least one usbc port new tech silicon mean moptimized apps still rolled eg photoshop still available release battery still removed surprise mean like mobile tech useable lifespan determined least partly nonremovable battery easier iphone battery replaced mba would imagine hopefully maintains high level performance year minimumoveralla negative mostly webcam enough significant improvement mba really nobrainer anyone needing nonpower notebook compute especially already ecosystem love far
positive,great apple product use it with the apple keypad folio and you basically have a lap top for less money.,product use keypad folio basically lap top le money
