Reviews,ID,Rating,Product
the battery last me all day when i’m working!,1,positive,Apple AirPods (2nd Generation)
as expected these are great earbuds,2,positive,Apple AirPods (2nd Generation)
she loves them so much she has them in constantly. she never hears me when i’m talking to her. i tend to scare her when i walk into a room and she doesn’t hear me.,3,positive,Apple AirPods (2nd Generation)
item was of the most unrivaled quality! fast delivery.,4,positive,Apple AirPods (2nd Generation)
no,5,positive,Apple AirPods (2nd Generation)
i’m sick i lost these but ima buy some more they bomb,6,positive,Apple AirPods (2nd Generation)
my daughter loves them. they are the real deal.,7,positive,Apple AirPods (2nd Generation)
i love my airpods they were a day late on the shipping but i wojt hold thst against them as i dont fully understand the shipping process nontheless they have great sound quality i love the battery life.,8,positive,Apple AirPods (2nd Generation)
"they work, connected, and looked authentic. wish i got these for $90 back then, but they’re a solid price for a solid pair of earbuds.",9,positive,Apple AirPods (2nd Generation)
"my son loves these.  auto pause for audio, and they verbalize your text messages.  my son utilizes these with his iphone 11 pro.",10,positive,Apple AirPods (2nd Generation)
didn't last long,11,positive,Apple AirPods (2nd Generation)
very pleased!,12,positive,Apple AirPods (2nd Generation)
this is great to speak to someone hands free,13,positive,Apple AirPods (2nd Generation)
my first pair of wireless headphones. didn’t disappoint.,14,positive,Apple AirPods (2nd Generation)
is an excellent item.100%,15,positive,Apple AirPods (2nd Generation)
"i've stayed away from ear buds and anything that is supposed to ""fit"" in my ears. i decided to try these because of the design and was amazed that they fit, stayed in and were comfortable to wear! love them",16,positive,Apple AirPods (2nd Generation)
i loved how quickly it came and how cheap they are. it gives you a choice for over night shipping and i got them the very next day i would definitely recommend getting them!!,17,positive,Apple AirPods (2nd Generation)
great ear buds and they are authentic.,18,positive,Apple AirPods (2nd Generation)
"i prefer these to the newer ones, because they don’t fall from my ears.",19,positive,Apple AirPods (2nd Generation)
great hands free talking and the music sounds awesome,20,positive,Apple AirPods (2nd Generation)
call was very good can you hear my music perfectly noise cancellation works,21,positive,Apple AirPods (2nd Generation)
good!!!,22,positive,Apple AirPods (2nd Generation)
"fast and easy shipping. i love buying these airpods great price, i’ve purchased 4 pairs now, one for each family member. clear sound, long battery life, it has noise cancellation and fast charging case, they also rings loud when i misplace one making it easy to find. must try",23,positive,Apple AirPods (2nd Generation)
my nephew said that he really enjoys these. great product,24,positive,Apple AirPods (2nd Generation)
la comodidad,25,positive,Apple AirPods (2nd Generation)
,26,positive,Apple AirPods (2nd Generation)
i just bought another pair for myself after buying for daughter,27,positive,Apple AirPods (2nd Generation)
clearly a different version as the case feels a lot cheaper.  the charging display light is in a different spot as well.  not sure wtf this is.  they work at least but still annoying.,28,positive,Apple AirPods (2nd Generation)
"these are a life saver, unlike the apple watch which is a waste of money.",29,positive,Apple AirPods (2nd Generation)
the sound quality is very good and very practical.,30,positive,Apple AirPods (2nd Generation)
granddaughter likes - nuff said.,31,positive,Apple AirPods (2nd Generation)
"they work easily and well. thankfully, my ears have no discomfort issues with airpods and they fit securely in my ear without causing fatigue.i don’t know why there is a noise cancelling rating on this review, as that is not a feature of these earbuds.",32,positive,Apple AirPods (2nd Generation)
they are easy to us. they connect instantly to my device. and they stay in my ears. no problem.,33,positive,Apple AirPods (2nd Generation)
wow. these are fantastic. great sound. microphone is first rate. i love these.  best 89.00 i’ve spent this year,34,positive,Apple AirPods (2nd Generation)
para mi es apple casi perfecto,35,positive,Apple AirPods (2nd Generation)
,36,positive,Apple AirPods (2nd Generation)
it seems air pods themselves stay charged longer than the case.,37,positive,Apple AirPods (2nd Generation)
"how can you go wrong, made by apple.... the quality-sound is outstanding.",38,positive,Apple AirPods (2nd Generation)
"great quality, easy to use and keeps a charge for a very long time!",39,positive,Apple AirPods (2nd Generation)
they are great quality i had them for 2 months nothing has happened very durable great to have on a everyday basis,40,positive,Apple AirPods (2nd Generation)
"works well, clear audio. hopefully it lasts.",41,positive,Apple AirPods (2nd Generation)
he always gets the same kind. easy to buy for him.,42,positive,Apple AirPods (2nd Generation)
great better then the others.,43,positive,Apple AirPods (2nd Generation)
"at the end of the day, you could never go wrong with apple",44,positive,Apple AirPods (2nd Generation)
they were exactly what our granddaughter wanted and she is really pleased with how they are working!,45,positive,Apple AirPods (2nd Generation)
daughter loves them!,46,positive,Apple AirPods (2nd Generation)
loved it. thanks!,47,positive,Apple AirPods (2nd Generation)
produto excelente,48,positive,Apple AirPods (2nd Generation)
slayed 2x,49,positive,Apple AirPods (2nd Generation)
"very easy to connect, and they actually stay in your ears pretty good.",50,positive,Apple AirPods (2nd Generation)
everything was great about them i would purchase again!,51,positive,Apple AirPods (2nd Generation)
they were sent fast and packaged safely. love that it was easily able to be setup.,52,positive,Apple AirPods (2nd Generation)
sounds great i can get so much work done when i don’t hear anybody,53,positive,Apple AirPods (2nd Generation)
i got mine a couple of days ago and the only downside is that it only works in the right airpod. it has been like that ever since i got it and i have not been able to fix that issue since. does anyone know what i can do to potentially fix it? i spent over $90.00 for only one airpod to work when i first got it.,54,positive,Apple AirPods (2nd Generation)
great battery lifd,55,positive,Apple AirPods (2nd Generation)
"these work great even though i do not have an iphone, i use them with my android phone and i was worried about compatibility issues but gratefully i did not come across any. i got them over the other in-ear headphones because my ear starts to ache if something is inside it too long. these are perfect as they stay just near the outer part allowing my inner ear to get some breathing space. sound quality is great as expected from the brand however the noise cancelling could be better. but that's a price to pay for my ear to not be fully closed off. a lot of the advertised features don't work because i'm not using an iphone (such as siri, ear detection or even battery detection - which can be frustrating). but here are some features that did work:- you cannot double tap to get to siri (or google) but the double tap instead works to pause or play the media!- you can still use just one earphone since they both connect differently. (will need to change settings to allow for mono audio, this can be found in accessibility).",56,positive,Apple AirPods (2nd Generation)
brought for god daughter she loves them. noise cancellation & good battery life.!,57,positive,Apple AirPods (2nd Generation)
i love how long i can listen to music with these,58,positive,Apple AirPods (2nd Generation)
"i've tried a lot of pod and over the head gear for longs hours of work. for whatever reason, these sit in my ear most comfortably. i actually hate noise cancelling features because i like hearing what's going on around me. much better than holding a handheld to my ear like the ""old"" days!",59,positive,Apple AirPods (2nd Generation)
i bought these to replace my daughters air pods that stopped working. they are great!,60,positive,Apple AirPods (2nd Generation)
"bought these as a gift, work perfectly, easy to connect and use, comfortable, great sound!",61,positive,Apple AirPods (2nd Generation)
sound quality,62,positive,Apple AirPods (2nd Generation)
"i have never owned a apple earphone before, however i have purchased many expensive and cheap earphones in the past. for near 90 dollars these are perfect. i doubt the 250 dollar newest versions are necessary. best not to find out!of course not losing these are the true challenge.it's super, super small.",63,positive,Apple AirPods (2nd Generation)
got for my son on prime day. he loves them!,64,positive,Apple AirPods (2nd Generation)
"i liked using product the size was pretty good, the lasted for about 3 hours before needing to be charged. if i were to buy airpods again would by this model it's easily one the best airpods the audio is good but when on a phone call could be better. though compared to others it's audio when talking on the phone is better.",65,positive,Apple AirPods (2nd Generation)
u hear very very good with the buds. would buy again very happy with them just love them u would enjoy them if u have and iphone. buy them u be happy,66,positive,Apple AirPods (2nd Generation)
i so regret buying these.  they sound great.  but they are no comfortable and they fall out of the ears easily.  once one fell out and almost landed in the toilet.  i bought some sheath to put on them which keeps them in my ears better but still not comfortable and they do still come out slowly.  i will buy bose beats next.  these suck.  i’m an apple girl but i cannot recommend these.,67,positive,Apple AirPods (2nd Generation)
came same day and just as described....,68,positive,Apple AirPods (2nd Generation)
love these but noticed that one pod charged and other didn’t. used a q-tip to wipe each end and inside the charge case. then made sure that the pods both showed a ⚡️ on iphone to be sure both were charging. it’s the only way to make sure!,69,positive,Apple AirPods (2nd Generation)
i haven’t found a wireless air bud to stay in my ears until now. haven’t had these long but i love them. i haven’t figured out song switching well yet. still working on that,70,positive,Apple AirPods (2nd Generation)
great product,71,positive,Apple AirPods (2nd Generation)
love them,72,positive,Apple AirPods (2nd Generation)
love these works perfectly. just wish battery lasted longer,73,positive,Apple AirPods (2nd Generation)
i caught the best deal ever on these earpods. i recommend checking the sales before purchasing.,74,positive,Apple AirPods (2nd Generation)
i use it for music and gps directions,75,positive,Apple AirPods (2nd Generation)
"bought these on the fly to use at work, they work great!",76,positive,Apple AirPods (2nd Generation)
super cool,77,positive,Apple AirPods (2nd Generation)
woks great & good battery life,78,positive,Apple AirPods (2nd Generation)
didn’t last 6 months not worth the money,79,positive,Apple AirPods (2nd Generation)
just as advertised!,80,positive,Apple AirPods (2nd Generation)
excellent… i definitely recommend them. i’m another satisfied listener and a very happy customer.,81,positive,Apple AirPods (2nd Generation)
"i'm so cheap that i decided i would buy the knockoff versions of these first. bad idea. just get the real thing first time around. these fit well so i don't have to keep adjusting them, they pair easily (to my phone and my computer), the sound quality is good, and when i'm on a call or a meeting, i can be easily heard by whoever i'm talking to. they are not 100% noise canceling, but it's good enough. worth the money for the aulity!",82,positive,Apple AirPods (2nd Generation)
"use them every day to listen to pod casts, music and e books. they are very comfortable.",83,positive,Apple AirPods (2nd Generation)
